Player 1 Heuristic,Player 2 Heuristic, Player1 winning ratio, Player2 winning ratio, tie ratio
1,1,20.0,80.0,0.0
1,2,50.0,50.0,0.0
1,3,90.0,10.0,0.0
1,4,80.0,20.0,0.0
1,5,40.0,40.0,20.0
1,6,40.0,30.000002,30.000002
2,1,60.000004,30.000002,10.0
2,2,60.000004,40.0,0.0
2,3,50.0,50.0,0.0
2,4,80.0,20.0,0.0
2,5,30.000002,60.000004,10.0
2,6,80.0,20.0,0.0
3,1,40.0,60.000004,0.0
3,2,10.0,80.0,10.0
3,3,40.0,60.000004,0.0
3,4,40.0,60.000004,0.0
3,5,50.0,50.0,0.0
3,6,10.0,90.0,0.0
4,1,20.0,60.000004,20.0
4,2,20.0,80.0,0.0
4,3,50.0,50.0,0.0
4,4,40.0,60.000004,0.0
4,5,30.000002,70.0,0.0
4,6,10.0,80.0,10.0
5,1,60.000004,30.000002,10.0
5,2,40.0,60.000004,0.0
5,3,70.0,30.000002,0.0
5,4,70.0,30.000002,0.0
5,5,40.0,50.0,10.0
5,6,20.0,80.0,0.0
6,1,20.0,70.0,10.0
6,2,10.0,90.0,0.0
6,3,40.0,50.0,10.0
6,4,50.0,40.0,10.0
6,5,20.0,80.0,0.0
6,6,30.000002,50.0,20.0
